"release_date","revenue","title","collection_name","main_genre","release_year","main_genre_name","rank"
"1966-12-20",2e+07,"The Sand Pebbles","",1,"1966","Action",4
"1966-04-05",17277,"Django","Django - Original films",1,"1966","Action",15
"1966-02-18",16318124,"The Silencers","The Matt Helm Collection",1,"1966","Action",5
"1966-02-23",1.2e+07,"Harper","Lew Harper Collection",1,"1966","Action",7.5
"1966-09-08",921548,"The Battle of Algiers","",7,"1966","Drama",12
"1966-01-09",364937,"Dracula: Prince of Darkness","Dracula (Hammer Series)",12,"1966","Horror",13
"1966-05-25",39388,"Au Hasard Balthazar","",7,"1966","Drama",14
"1966-04-07",1314230,"For Love and Gold","Brancaleone Collection",2,"1966","Adventure",11
"1966-10-10",34562222,"Hawaii","",7,"1966","Drama",1
"1957-03-25",1e+06,"12 Angry Men","",7,"1957","Drama",6
"1957-10-02",27200000,"The Bridge on the River Kwai","",7,"1957","Drama",1
"1957-10-03",752045,"Nights of Cabiria","",7,"1957","Drama",7
"1957-12-17",9e+06,"Witness for the Prosecution","",7,"1957","Drama",3
"1957-12-17",2200000,"Legend of the Lost","",2,"1957","Adventure",4
"1957-05-30",11750000,"Gunfight at the O.K. Corral","",20,"1957","Western",2
"1957-06-19",2e+06,"I Was a Teenage Werewolf","",7,"1957","Drama",5
"1962-12-10",69995385,"Lawrence of Arabia","",2,"1962","Adventure",2
"1962-12-25",13129846,"To Kill a Mockingbird","",5,"1962","Crime",7
"1962-10-24",96105910,"The Manchurian Candidate","",14,"1962","Mystery",1
"1962-06-13",9250000,"Lolita","",7,"1962","Drama",8
"1962-10-04",59600000,"Dr. No","James Bond Collection",2,"1962","Adventure",3
"1962-09-25",50100000,"The Longest Day","",1,"1962","Action",4
"1962-04-22",8e+06,"The Man Who Shot Liberty Valance","",20,"1962","Western",9.5
"1962-09-20",24517,"Vivre Sa Vie","",7,"1962","Drama",14
"1962-07-03",3100000,"Birdman of Alcatraz","",7,"1962","Drama",11
"1962-05-22",2500000,"The Miracle Worker","",7,"1962","Drama",12
"1962-03-07",1250000,"Premature Burial","",7,"1962","Drama",13
"1962-11-01",5e+07,"How the West Was Won","",11,"1962","History",5
"1962-06-08",3274,"Eegah","",12,"1962","Horror",15
"1962-06-19",8e+06,"The Music Man","",4,"1962","Comedy",9.5
"1962-11-08",13680000,"Mutiny on the Bounty","",2,"1962","Adventure",6
"1983-05-23",572700000,"Return of the Jedi","Star Wars Collection",2,"1983","Adventure",1
"1983-03-16",87987055,"Jaws 3-D","The Jaws Collection",17,"1983","Thriller",6
"1983-03-25",33697647,"The Outsiders","",5,"1983","Crime",18
"1983-06-17",75850624,"Superman III","Superman Collection",4,"1983","Comedy",8
"1983-07-28",61399552,"National Lampoon's Vacation","National Lampoon's Vacation Collection"", 'poster_path'",4,"1983","Comedy",14
"1983-06-03",34725000,"Psycho II","Psycho Collection",12,"1983","Horror",16
"1983-08-05",63541777,"Risky Business","",4,"1983","Comedy",13
"1983-04-14",92921203,"Flashdance","",7,"1983","Drama",4
"1983-06-07",90400000,"Trading Places","",4,"1983","Comedy",5
"1983-07-22",64783827,"Mr. Mom","",4,"1983","Comedy",12
"1983-06-24",33759266,"Porky's II: The Next Day","Porky's Collection"", 'poster_path'",4,"1983","Comedy",17
"1983-12-08",65884703,"Scarface","",1,"1983","Action",10
"1983-12-07",67642693,"Sudden Impact","Dirty Harry Collection",1,"1983","Action",9
"1983-11-18",30400000,"Yentl","",13,"1983","Music",19
"1983-07-11",64892670,"Staying Alive","Saturday Night Fever Collection",7,"1983","Drama",11
"1983-06-03",79567667,"WarGames","WarGames Collection",17,"1983","Thriller",7
"1983-06-05",187500000,"Octopussy","James Bond Collection",2,"1983","Adventure",2
"1983-10-07",1.6e+08,"Never Say Never Again","James Bond Collection",2,"1983","Adventure",3
"1983-02-05",42313354,"Blue Thunder","",16,"1983","Science Fiction",15
"1983-06-24",29450919,"Twilight Zone: The Movie","",7,"1983","Drama",20
"1949-08-31",596349,"The Third Man","",17,"1949","Thriller",5
"1949-12-21",3225000,"Twelve O'Clock High","",19,"1949","War",4
"1949-10-22",5400000,"She Wore a Yellow Ribbon","",20,"1949","Western",3
"1949-12-14",7800000,"Sands of Iwo Jima","",1,"1949","Action",2
"1949-12-21",11500000,"Samson and Delilah","",7,"1949","Drama",1
"1985-07-03",381109762,"Back to the Future","Back to the Future Collection",2,"1985","Adventure",1
"1985-02-08",68706993,"Witness","",5,"1985","Crime",9
"1985-12-20",128499205,"Out of Africa","",7,"1985","Drama",6
"1985-02-15",51525171,"The Breakfast Club","",4,"1985","Comedy",14
"1985-06-06",61503218,"The Goonies","",2,"1985","Adventure",10
"1985-05-31",59612888,"Fletch","Fletch Collection",4,"1985","Comedy",11
"1985-05-24",152427960,"A View to a Kill","James Bond Collection",2,"1985","Adventure",4
"1985-03-28",55600000,"Police Academy 2: Their First Assignment","Police Academy Collection",4,"1985","Comedy",13
"1985-06-28",41410568,"Pale Rider","",15,"1985","Romance",19
"1985-05-21",300400432,"Rambo: First Blood Part II","Rambo Collection",1,"1985","Action",3
"1985-12-04",96773200,"The Jewel of the Nile","Romancing the Stone Collection",1,"1985","Action",7
"1985-06-21",85313124,"Cocoon","Cocoon Collection",4,"1985","Comedy",8
"1985-11-21",300473716,"Rocky IV","Rocky Collection",7,"1985","Drama",2
"1985-12-18",146292009,"The Color Purple","",7,"1985","Drama",5
"1985-07-25",49364621,"National Lampoon’s European Vacation","National Lampoon's Vacation Collection"", 'poster_path'",2,"1985","Adventure",15
"1985-07-26",40940662,"Pee-wee's Big Adventure","Pee-wee's Collection"", 'poster_path'",2,"1985","Adventure",20
"1985-05-22",45833132,"Brewster's Millions","",4,"1985","Comedy",16
"1985-10-03",57500000,"Commando","",1,"1985","Action",12
"1985-03-08",42400000,"Mask","",7,"1985","Drama",17
"1985-11-22",42160849,"White Nights","",7,"1985","Drama",18
"1974-12-20",47542841,"The Godfather: Part II","The Godfather Collection",7,"1974","Drama",6
"1974-06-20",3e+07,"Chinatown","The Jake Gittes Collection",5,"1974","Crime",11
"1974-12-15",86273333,"Young Frankenstein","",4,"1974","Comedy",4
"1974-10-01",30859000,"The Texas Chain Saw Massacre","Texas Chainsaw Massacre Collection",12,"1974","Horror",10
"1974-10-18",4.7e+07,"Airport 1975","Airport Collection",1,"1974","Action",7
"1974-12-14",1.16e+08,"The Towering Inferno","",1,"1974","Action",2
"1974-11-15",79666653,"Earthquake","",1,"1974","Action",5
"1974-07-24",2.2e+07,"Death Wish","Death Wish Collection",1,"1974","Action",14
"1974-05-01",4e+06,"The Lords of Flatbush","",7,"1974","Drama",18
"1974-12-01",97572000,"The Man with the Golden Gun","James Bond Collection",2,"1974","Adventure",3
"1974-02-07",119500000,"Blazing Saddles","",20,"1974","Western",1
"1974-04-07",4420000,"The Conversation","",5,"1974","Crime",17
"1974-04-05",12800000,"The Sugarland Express","",5,"1974","Crime",16
"1974-05-23",21700000,"Thunderbolt and Lightfoot","",1,"1974","Action",15
"1974-08-21",43008075,"The Longest Yard","",5,"1974","Crime",8
"1974-03-27",26533200,"The Great Gatsby","",7,"1974","Drama",13
"1974-11-24",27634716,"Murder on the Orient Express","",7,"1974","Drama",12
"1974-01-01",30000,"Hearts and Minds","",6,"1974","Documentary",19
"1974-03-29",36782781,"Watch Out, We're Mad","",1,"1974","Action",9
"1984-10-26",51973029,"Amadeus","",7,"1984","Drama",14
"1984-10-26",78371200,"The Terminator","The Terminator Collection",1,"1984","Action",11
"1984-05-31",8.7e+07,"Star Trek III: The Search for Spock","Star Trek",16,"1984","Science Fiction",8
"1984-06-07",153083102,"Gremlins","The Gremlins Collection",9,"1984","Fantasy",4
"1984-03-09",69821334,"Splash","Splash Collection",4,"1984","Comedy",12
"1984-05-23",3.33e+08,"Indiana Jones and the Temple of Doom","Indiana Jones Collection",2,"1984","Adventure",1
"1984-12-06",40400657,"2010","The Space Odyssey Series",17,"1984","Thriller",18
"1984-03-22",146198896,"Police Academy","Police Academy Collection",4,"1984","Comedy",5
"1984-03-30",86572238,"Romancing the Stone","Romancing the Stone Collection",1,"1984","Action",9
"1984-06-22",90815558,"The Karate Kid","The Karate Kid Collection",7,"1984","Drama",7
"1984-06-07",295212467,"Ghostbusters","Ghostbusters Collection",4,"1984","Comedy",3
